major,contig,power,maxdem,mindem,years,class
0,0,0.737793803,0,-5,0,0
0,0,0.135222599,-7,-10,0,0
0,0,0.033316601,10,-5,0,0
0,0,0.764927685,10,2,0,0
1,0,0.476666003,10,-3,0,1
1,0,0.081351899,10,-1,0,1
0,0,0.453905702,8,4,0,0
0,1,0.286852598,8,-9,0,1
1,0,0.0176693,10,-7,0,1
1,0,0.0072904,10,-9,0,1
0,0,0.204933897,10,-7,0,0
0,0,0.391709596,10,-6,0,0
0,0,0.73632127,10,7,0,0
1,0,0.073714703,10,-7,0,1
0,0,0.283093095,2,-9,0,0
0,0,0.509289622,10,-9,0,0
0,0,0.549450517,10,5,0,0
0,0,0.084041603,10,-9,1,0
0,0,0.337391287,5,-3,1,0
0,1,0.0024227,-5,-9,1,1
0,0,0.533551872,10,-9,1,0
1,1,0.966857016,-5,-9,0,1
1,0,0.0341423,10,-9,1,0
0,0,0.0130163,10,-3,1,0
0,0,0.51859951,5,2,1,0
0,0,0.548721671,2,1,1,0
0,0,0.835721612,2,-4,1,0
0,0,0.229885101,10,-1,1,0
1,0,0.0022655,10,2,1,0
1,0,0.038468398,10,2,1,1
0,0,0.0259475,10,5,1,0
0,0,0.936562777,10,10,2,0
0,0,0.300232202,10,10,2,0
0,1,0.781893015,10,-8,2,1
1,0,0.49814871,10,10,2,0
1,0,0.387483805,10,-9,2,1
0,0,0.565244317,4,-7,2,0
1,0,0.171595007,10,-9,0,1
0,1,0.994764388,10,-3,2,0
0,1,0.400191307,8,-9,0,1
0,1,0.078174703,1,-10,2,1
0,0,0.711610615,10,-3,2,0
1,0,0.762569427,10,-9,1,1
0,0,0.936067581,10,-10,2,0
0,0,0.1375999,10,-3,2,0
0,0,0.094165698,2,-6,1,0
1,0,0.661283374,10,-9,1,1
1,0,0.049565598,10,2,0,1
1,0,0.174002498,10,-3,1,1
0,0,0.667673707,-3,-10,2,0
1,0,0.056499802,10,-10,2,0
1,0,0.0031154,10,-6,2,0
0,0,0.236182898,10,-7,3,0
0,0,0.293359786,0,-8,3,0
0,0,0.144329906,10,-9,3,0
0,0,0.194888696,10,10,3,0
0,0,0.895430982,3,2,3,0
0,0,0.0751426,4,-10,3,0
1,0,0.0111425,10,-5,3,0
1,0,0.0151708,10,-6,3,1
0,0,0.776938915,-7,-9,3,0
1,0,0.333955586,10,-7,3,0
0,0,0.305028588,8,-7,1,0
1,0,0.437659591,10,-8,3,1
0,1,0.194236398,-7,-9,3,1
0,1,0.467600912,10,1,0,1
1,0,0.091184601,-7,-9,3,1
0,0,0.61648941,-6,-7,3,0
0,0,0.623461187,3,0,3,0
0,1,0.357959598,2,-10,2,1
0,1,0.401793689,-7,-10,3,1
0,1,0.578947425,2,-7,3,1
0,1,0.691770196,10,-7,0,1
0,0,0.135061398,5,-7,3,0
1,0,0.0051531,10,-10,3,0
1,0,0.0004201,10,-9,3,1
0,1,0.595335186,-7,-7,3,0
0,0,0.232443601,-1,-9,3,0
1,0,0.043965001,10,10,1,1
0,1,0.383426696,4,-9,0,1
1,0,0.584051311,10,-8,3,1
0,0,0.702006221,-1,-7,3,0
0,0,0.697336614,10,2,2,0
0,0,0.0835042,10,-6,4,0
0,0,0.317091703,-7,-9,4,0
0,1,0.350704998,10,-10,0,1
0,1,0.203159705,10,10,4,0
1,0,0.966116488,10,-7,4,0
0,1,0.058066402,5,-5,4,0
0,0,0.899595082,-3,-7,1,0
0,0,0.136122093,-5,-7,4,0
0,0,0.230131403,8,-8,1,1
0,0,0.655209184,10,-7,4,0
0,0,0.980557621,10,3,4,0
0,1,0.554485917,4,2,4,1
0,1,0.756053209,-3,-7,0,1
1,0,0.647459328,10,-7,4,0
0,1,0.374547511,10,1,0,1
0,0,0.800692379,10,-7,4,0
0,0,0.464076996,8,-5,2,0
0,1,0.371038109,9,4,0,1
0,1,0.324624687,4,-10,0,1
0,0,0.275802493,8,-7,2,0
1,0,0.393531591,10,-8,0,1
1,0,0.583720028,10,-9,0,1
1,1,0.660017788,9,-8,3,1
1,0,0.0110991,10,-3,4,0
0,0,0.74295193,-5,-8,4,0
0,0,0.760237813,8,4,4,0
1,0,0.515536129,10,-8,0,1
0,0,0.039586801,9,2,3,0
0,1,0.866891384,10,2,0,1
0,0,0.923756003,8,-4,4,0
0,1,0.869553089,4,-7,4,1
1,0,0.089565501,10,-9,4,0
0,0,0.0095953,10,10,5,0
0,1,0.575189471,4,2,0,1
